Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Henrik Stenson,60.00,75.19,2018,291.50,73.51,29.93,60.67,69.62,868,,5,-0.21,1.15,0.43,0.96,-0.03,2680487
Ryan Armour,109.00,73.58,2018,283.50,68.22,29.31,60.13,70.76,1006,1,3,-0.06,0.34,-0.01,0.21,0.19,2485203
Chez Reavie,93.00,72.24,2018,286.50,68.67,29.12,62.27,70.43,1020,,3,0.19,0.67,0.18,0.44,-0.14,2700018
Ryan Moore,78.00,71.94,2018,289.20,68.80,29.17,64.16,70.02,795,,5,-0.27,0.94,0.41,0.53,0.27,1986608
Brian Stuard,103.00,71.44,2018,278.90,67.12,29.11,59.23,71.04,421,,3,0.16,0.06,-0.23,0.10,0.03,1089763
Brian Gay,103.00,71.37,2018,282.90,64.52,28.25,63.26,70.28,880,,6,0.44,0.57,-0.17,0.04,0.25,2152501
Kyle Stanley,93.00,71.29,2018,295.70,71.09,29.89,54.80,70.40,1198,,5,0.04,0.69,0.38,0.30,-0.03,3916001
Emiliano Grillo,94.00,70.16,2018,295.20,68.84,29.04,61.05,70.15,901,,5,0.55,1.13,0.36,0.35,-0.12,2493163
Russell Henley,77.00,70.03,2018,293.00,68.77,29.80,54.33,70.49,569,,3,0.17,0.54,0.09,0.47,-0.19,1516438
Jim Furyk,50.00,69.91,2018,280.50,63.19,28.73,62.58,70.34,291,,2,0.39,0.41,-0.39,0.18,0.24,660010
Steve Wheatcroft,60.00,69.79,2018,288.90,66.57,29.29,61.03,71.63,138,,1,-0.13,-0.34,0.11,-0.07,-0.26,309656
Kevin Streelman,94.00,69.11,2018,295.10,71.56,29.67,60.93,70.44,673,,5,-0.25,0.62,0.44,0.42,0.01,1523642
C.T. Pan,104.00,68.98,2018,292.70,71.20,29.66,56.89,70.46,693,,1,-0.07,0.48,0.22,0.27,0.06,1881787
David Lingmerth,82.00,68.93,2018,285.40,63.03,28.50,58.57,71.04,274,,,0.23,-0.01,0.01,-0.16,-0.08,616758
Keegan Bradley,98.00,67.90,2018,299.60,69.18,29.68,56.78,70.30,872,,4,-0.36,0.79,0.24,0.89,0.03,4069464
Rafa Cabrera Bello,75.00,67.85,2018,295.10,70.16,29.47,57.98,69.89,784,,4,0.27,1.11,0.26,0.49,0.10,2449869
Billy Horschel,86.00,67.80,2018,295.40,71.75,29.46,58.03,70.15,960,1,3,0.39,1.11,0.54,0.35,-0.17,4315200
Russell Knox,94.00,67.70,2018,291.70,69.57,29.70,59.43,70.57,585,,3,-0.09,0.38,0.06,0.26,0.15,1424030
Ben Crane,65.00,67.52,2018,281.10,64.88,28.69,63.00,71.10,267,,1,0.33,0.18,-0.30,-0.04,0.18,620646
Vaughn Taylor,83.00,67.51,2018,286.10,67.02,29.15,59.91,70.69,445,,3,-0.08,0.22,-0.01,0.31,0.00,965691
Brian Harman,94.00,67.14,2018,291.90,67.59,29.29,56.95,70.54,1056,,8,0.27,0.29,0.14,-0.02,-0.10,2733463
Sam Ryder,82.00,66.91,2018,297.30,72.08,29.88,56.47,70.91,442,,3,-0.35,0.15,0.20,0.40,-0.10,1046166
"Ted Potter, Jr.",87.00,66.83,2018,286.00,63.03,28.45,57.51,71.02,744,1,1,0.07,-0.09,-0.07,-0.20,0.11,1976198
Austin Cook,107.00,66.76,2018,292.30,66.51,28.72,62.02,70.47,1060,1,3,0.32,0.57,0.12,-0.05,0.18,2448920
Tyler Duncan,97.00,66.74,2018,294.40,69.65,30.19,52.76,71.04,457,,2,-0.57,0.02,0.27,0.48,-0.17,944021
David Hearn,66.00,66.63,2018,285.10,68.89,29.58,55.65,71.33,315,,2,-0.13,-0.03,-0.17,0.38,-0.11,622383
Alex Cejka,77.00,66.49,2018,286.70,63.77,28.52,64.00,70.68,502,,2,0.01,0.31,-0.02,-0.17,0.50,1198541
Ian Poulter,73.00,66.41,2018,293.60,67.01,28.97,57.11,70.59,1030,1,4,0.22,0.85,0.14,0.44,0.05,2714450
Joel Dahmen,93.00,66.36,2018,295.80,68.82,29.26,63.31,70.58,676,,3,-0.28,0.40,0.30,0.38,0.00,1476838
Kevin Kisner,89.00,66.33,2018,290.80,65.38,28.91,60.29,70.73,971,,4,0.51,0.04,-0.04,-0.32,-0.12,2972285
J.J. Henry,81.00,66.22,2018,291.80,70.52,30.37,54.77,71.37,239,,1,-0.57,-0.19,0.17,0.34,-0.14,482052
J.J. Spaun,85.00,66.18,2018,298.20,69.48,29.63,55.76,70.53,849,,4,-0.15,0.29,0.29,0.41,-0.26,1978906
Justin Rose,70.00,66.02,2018,303.50,69.95,28.67,63.03,68.99,1991,2,8,0.42,1.95,0.55,0.53,0.45,8130678
Kelly Kraft,94.00,65.84,2018,288.60,63.83,28.92,58.93,71.33,627,,3,0.08,-0.32,-0.29,0.02,-0.13,1496253
Conrad Shindler,60.00,65.77,2018,291.30,66.27,29.14,60.00,71.47,92,,,-0.17,-0.31,0.11,-0.01,-0.25,187399
Scott Piercy,84.00,65.68,2018,296.60,69.72,29.86,55.96,70.74,802,1,2,-0.57,0.29,0.21,0.55,0.10,1882337
Adam Hadwin,92.00,65.60,2018,289.40,68.04,29.26,58.59,70.75,638,,3,0.11,0.60,0.06,0.17,0.27,1932488
Ben Silverman,90.00,65.56,2018,290.20,64.95,28.74,57.36,71.28,323,,2,0.24,-0.21,0.07,-0.39,-0.13,793140
Satoshi Kodaira,51.00,65.53,2018,293.60,60.30,29.88,51.02,72.18,600,1,1,-0.65,-1.83,0.03,-0.28,-0.93,1471462
Rickie Fowler,74.00,65.33,2018,299.80,69.52,28.99,63.05,69.44,1302,,4,0.30,1.28,0.24,0.49,0.24,4235237
Xinjun Zhang,81.00,65.33,2018,298.70,67.04,29.67,58.20,71.49,195,,1,-0.44,-0.73,0.14,-0.25,-0.18,420377
Kiradech Aphibarnrat,51.00,65.12,2018,294.70,62.20,28.93,55.59,70.63,,,,0.14,0.51,0.49,-0.25,0.14,
Pat Perez,82.00,65.09,2018,290.90,67.78,29.29,55.63,70.59,1116,1,4,0.12,-0.05,-0.06,-0.14,0.04,2962641
Lucas Glover,65.00,65.06,2018,297.70,67.12,29.64,59.83,71.07,324,,1,-0.19,0.28,0.51,-0.04,-0.01,789382
Richy Werenski,98.00,65.06,2018,291.80,66.97,29.36,56.49,71.19,498,,2,-0.11,-0.12,0.08,-0.17,0.08,1081283
Hunter Mahan,67.00,65.04,2018,296.90,68.96,29.02,58.81,71.14,234,,1,0.35,0.21,0.47,-0.15,-0.45,457337
Francesco Molinari,73.00,65.04,2018,301.00,70.24,29.63,58.67,69.80,1682,2,4,-0.49,1.12,0.69,0.59,0.33,5065842
Fabián Gómez,88.00,64.99,2018,291.10,67.86,29.38,58.85,71.02,221,,,0.00,-0.11,-0.06,-0.02,-0.03,437032
Tommy Fleetwood,73.00,64.98,2018,306.90,69.36,29.30,55.77,69.34,1130,,5,0.32,1.61,0.58,0.41,0.30,3935147
Graeme McDowell,67.00,64.92,2018,293.20,64.50,29.20,59.95,71.00,274,,1,0.48,0.70,0.12,0.05,0.05,581024
Louis Oosthuizen,62.00,64.81,2018,299.80,65.74,29.24,64.26,70.16,620,,3,-0.03,0.52,0.40,-0.26,0.41,1731493
Chad Campbell,87.00,64.70,2018,286.50,65.54,29.75,59.39,71.68,361,,2,-0.45,-0.48,-0.04,-0.01,0.02,801960
Blayne Barber,69.00,64.67,2018,294.70,69.98,29.66,57.46,70.84,202,,,-0.02,-0.04,0.10,-0.05,-0.07,398137
Michael Thompson,62.00,64.66,2018,296.40,70.11,29.62,55.77,70.92,280,,,0.50,0.05,-0.07,-0.42,0.05,563972
Chris Kirk,108.00,64.64,2018,289.80,68.24,28.90,63.53,70.41,756,,4,0.07,0.73,-0.05,0.52,0.19,1824111
Daniel Berger,81.00,64.58,2018,297.70,66.89,29.42,58.94,70.32,565,,1,0.32,0.82,0.10,0.54,-0.15,1721763
Hudson Swafford,73.00,64.57,2018,302.80,68.99,30.03,54.01,71.62,245,,,-0.26,-0.49,0.23,-0.24,-0.22,569391
Bronson Burgoon,69.00,64.53,2018,302.80,68.44,29.55,55.61,70.70,446,,2,0.11,0.48,0.31,0.37,-0.31,1179616
Brice Garnett,99.00,64.45,2018,296.70,66.78,29.34,58.63,71.02,634,1,2,-0.08,-0.31,0.19,-0.14,-0.28,1466224
Ryan Blaum,81.00,64.31,2018,289.00,66.10,29.13,55.46,70.99,433,,2,0.03,-0.03,0.01,-0.07,0.01,980877
Johnson Wagner,75.00,64.25,2018,286.10,67.87,28.65,65.41,70.76,338,,,0.62,0.72,-0.21,0.08,0.23,656322
Kevin Na,91.00,64.13,2018,289.60,64.66,28.07,63.62,70.29,1183,1,4,0.53,0.80,-0.38,0.27,0.37,3578316
Zach Johnson,94.00,63.88,2018,289.80,67.43,28.62,62.35,69.91,839,,2,0.21,1.04,-0.06,0.46,0.43,1957635
John Huh,94.00,63.83,2018,287.10,65.80,28.82,57.94,70.72,480,,2,0.17,0.25,-0.11,0.24,-0.05,974538
James Hahn,85.00,63.73,2018,298.70,68.29,29.50,59.62,70.90,596,,1,-0.15,0.28,0.32,0.08,0.03,1386301
Rod Pampling,62.00,63.69,2018,288.40,62.64,29.31,56.67,72.45,64,,,-0.42,-1.09,-0.10,-0.42,-0.16,183806
Gary Woodland,96.00,63.69,2018,313.50,70.51,29.93,54.45,70.16,1044,1,3,0.01,1.07,0.80,0.48,-0.23,3108907
Cameron Percy,56.00,63.66,2018,295.60,69.56,29.36,57.30,70.91,191,,2,-0.21,0.29,0.24,0.04,0.21,387612
Abraham Ancer,98.00,63.64,2018,296.10,66.49,28.91,62.69,70.66,589,,4,-0.06,0.32,0.33,0.07,-0.02,1676695
Ben Martin,64.00,63.52,2018,289.60,63.98,28.58,58.80,70.97,266,,1,0.12,0.00,-0.14,0.12,-0.10,532936
Branden Grace,67.00,63.49,2018,298.90,67.10,29.34,57.78,70.41,590,,2,0.35,0.81,0.16,0.17,0.13,1529289
Denny McCarthy,71.00,63.45,2018,295.40,68.17,29.41,59.83,70.86,267,,1,0.45,0.09,0.01,-0.35,-0.02,498341
Aaron Wise,90.00,63.33,2018,302.90,68.81,29.15,56.28,70.25,1086,1,3,0.24,0.70,0.41,0.01,0.04,3486407
